Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011566 | lrm: 1.00 | dt: 18850ms | tok/sec: 6,953 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00375 (24.6%) | loss: 3.422818 | lrm: 1.00 | dt: 203ms | tok/sec: 644,750 | mfu: 18.0% | epoch: 1 | remaining: 226s    
step 00376 (24.7%) | loss: 3.422871 | lrm: 1.00 | dt: 203ms | tok/sec: 646,947 | mfu: 18.1% | epoch: 1 | remaining: 226s    
step 00377 (24.8%) | loss: 3.419285 | lrm: 1.00 | dt: 204ms | tok/sec: 642,812 | mfu: 18.0% | epoch: 1 | remaining: 225s    
step 00378 (24.8%) | loss: 3.419988 | lrm: 1.00 | dt: 203ms | tok/sec: 644,559 | mfu: 18.0% | epoch: 1 | remaining: 225s    
step 00379 (24.9%) | loss: 3.418310 | lrm: 1.00 | dt: 202ms | tok/sec: 648,935 | mfu: 18.2% | epoch: 1 | remaining: 225s    
step 00380 (25.0%) | loss: 3.417987 | lrm: 1.00 | dt: 206ms | tok/sec: 637,157 | mfu: 17.8% | epoch: 1 | remaining: 225s    
step 00381 (25.1%) | loss: 3.422428 | lrm: 1.00 | dt: 202ms | tok/sec: 647,775 | mfu: 18.1% | epoch: 1 | remaining: 225s    
step 00382 (25.1%) | loss: 3.424476 | lrm: 1.00 | dt: 204ms | tok/sec: 642,651 | mfu: 18.0% | epoch: 1 | remaining: 224s    
step 00383 (25.2%) | loss: 3.425616 | lrm: 1.00 | dt: 204ms | tok/sec: 643,235 | mfu: 18.0% | epoch: 1 | remaining: 224s    
step 00384 (25.3%) | loss: 3.425107 | lrm: 1.00 | dt: 205ms | tok/sec: 640,023 | mfu: 17.9% | epoch: 1 | remaining: 224s    
step 00385 (25.3%) | loss: 3.428657 | lrm: 1.00 | dt: 203ms | tok/sec: 645,376 | mfu: 18.1% | epoch: 1 | remaining: 224s    
step 00386 (25.4%) | loss: 3.430490 | lrm: 0.99 | dt: 204ms | tok/sec: 643,242 | mfu: 18.0% | epoch: 1 | remaining: 224s    
step 00387 (25.5%) | loss: 3.432454 | lrm: 0.99 | dt: 204ms | tok/sec: 643,568 | mfu: 18.0% | epoch: 1 | remaining: 223s    
step 00388 (25.5%) | loss: 3.423418 | lrm: 0.99 | dt: 204ms | tok/sec: 644,052 | mfu: 18.0% | epoch: 1 | remaining: 223s    
step 00389 (25.6%) | loss: 3.420803 | lrm: 0.99 | dt: 203ms | tok/sec: 645,041 | mfu: 18.0% | epoch: 1 | remaining: 223s    
step 00390 (25.7%) | loss: 3.419269 | lrm: 0.99 | dt: 204ms | tok/sec: 643,061 | mfu: 18.0% | epoch: 1 | remaining: 223s    
step 00391 (25.7%) | loss: 3.412621 | lrm: 0.99 | dt: 202ms | tok/sec: 647,649 | mfu: 18.1% | epoch: 1 | remaining: 223s    
step 00392 (25.8%) | loss: 3.413961 | lrm: 0.99 | dt: 204ms | tok/sec: 643,046 | mfu: 18.0% | epoch: 1 | remaining: 222s    
step 00393 (25.9%) | loss: 3.411542 | lrm: 0.99 | dt: 204ms | tok/sec: 643,352 | mfu: 18.0% | epoch: 1 | remaining: 222s    
step 00394 (25.9%) | loss: 3.412853 | lrm: 0.99 | dt: 204ms | tok/sec: 641,160 | mfu: 17.9% | epoch: 1 | remaining: 222s    
step 00395 (26.0%) | loss: 3.414956 | lrm: 0.99 | dt: 204ms | tok/sec: 641,680 | mfu: 18.0% | epoch: 1 | remaining: 222s    
step 00396 (26.1%) | loss: 3.412818 | lrm: 0.99 | dt: 203ms | tok/sec: 647,092 | mfu: 18.1% | epoch: 1 | remaining: 222s    
step 00397 (26.1%) | loss: 3.406892 | lrm: 0.98 | dt: 204ms | tok/sec: 643,276 | mfu: 18.0% | epoch: 1 | remaining: 221s    
step 00398 (26.2%) | loss: 3.402042 | lrm: 0.98 | dt: 204ms | tok/sec: 643,163 | mfu: 18.0% | epoch: 1 | remaining: 221s    
step 00399 (26.3%) | loss: 3.402611 | lrm: 0.98 | dt: 204ms | tok/sec: 643,770 | mfu: 18.0% | epoch: 1 | remaining: 221s    
step 00400 (26.3%) | loss: 3.406158 | lrm: 0.98 | dt: 203ms | tok/sec: 647,150 | mfu: 18.1% | epoch: 1 | remaining: 221s    
step 00401 (26.4%) | loss: 3.401495 | lrm: 0.98 | dt: 204ms | tok/sec: 643,604 | mfu: 18.0% | epoch: 1 | remaining: 221s    
step 00402 (26.5%) | loss: 3.399216 | lrm: 0.98 | dt: 204ms | tok/sec: 643,662 | mfu: 18.0% | epoch: 1 | remaining: 220s    
step 00403 (26.5%) | loss: 3.400824 | lrm: 0.98 | dt: 204ms | tok/sec: 641,747 | mfu: 18.0% | epoch: 1 | remaining: 220s    
step 00404 (26.6%) | loss: 3.403422 | lrm: 0.98 | dt: 204ms | tok/sec: 643,360 | mfu: 18.0% | epoch: 1 | remaining: 220s    
step 00405 (26.7%) | loss: 3.398475 | lrm: 0.98 | dt: 202ms | tok/sec: 649,045 | mfu: 18.2% | epoch: 1 | remaining: 220s    
step 00406 (26.7%) | loss: 3.388178 | lrm: 0.98 | dt: 204ms | tok/sec: 641,501 | mfu: 17.9% | epoch: 1 | remaining: 220s    
step 00407 (26.8%) | loss: 3.388081 | lrm: 0.98 | dt: 203ms | tok/sec: 644,923 | mfu: 18.0% | epoch: 1 | remaining: 219s    
step 00408 (26.9%) | loss: 3.384168 | lrm: 0.97 | dt: 204ms | tok/sec: 642,154 | mfu: 18.0% | epoch: 1 | remaining: 219s    
step 00409 (27.0%) | loss: 3.381117 | lrm: 0.97 | dt: 204ms | tok/sec: 642,379 | mfu: 18.0% | epoch: 1 | remaining: 219s    
step 00410 (27.0%) | loss: 3.379211 | lrm: 0.97 | dt: 204ms | tok/sec: 643,571 | mfu: 18.0% | epoch: 1 | remaining: 219s    
step 00411 (27.1%) | loss: 3.378596 | lrm: 0.97 | dt: 204ms | tok/sec: 643,577 | mfu: 18.0% | epoch: 1 | remaining: 219s    
step 00412 (27.2%) | loss: 3.375188 | lrm: 0.97 | dt: 204ms | tok/sec: 643,345 | mfu: 18.0% | epoch: 1 | remaining: 218s    
step 00413 (27.2%) | loss: 3.373106 | lrm: 0.97 | dt: 203ms | tok/sec: 645,117 | mfu: 18.0% | epoch: 1 | remaining: 218s    
step 00414 (27.3%) | loss: 3.373326 | lrm: 0.97 | dt: 204ms | tok/sec: 643,448 | mfu: 18.0% | epoch: 1 | remaining: 218s    
step 00415 (27.4%) | loss: 3.375259 | lrm: 0.97 | dt: 202ms | tok/sec: 648,581 | mfu: 18.1% | epoch: 1 | remaining: 218s    
step 00416 (27.4%) | loss: 3.367242 | lrm: 0.97 | dt: 204ms | tok/sec: 640,965 | mfu: 17.9% | epoch: 1 | remaining: 218s    
step 00417 (27.5%) | loss: 3.355462 | lrm: 0.97 | dt: 205ms | tok/sec: 640,599 | mfu: 17.9% | epoch: 1 | remaining: 217s    
step 00418 (27.6%) | loss: 3.348957 | lrm: 0.97 | dt: 204ms | tok/sec: 642,977 | mfu: 18.0% | epoch: 1 | remaining: 217s    
step 00419 (27.6%) | loss: 3.344327 | lrm: 0.96 | dt: 204ms | tok/sec: 643,597 | mfu: 18.0% | epoch: 1 | remaining: 217s    
step 00420 (27.7%) | loss: 3.343335 | lrm: 0.96 | dt: 204ms | tok/sec: 643,508 | mfu: 18.0% | epoch: 1 | remaining: 217s    
step 00421 (27.8%) | loss: 3.341277 | lrm: 0.96 | dt: 204ms | tok/sec: 642,844 | mfu: 18.0% | epoch: 1 | remaining: 216s    
step 00422 (27.8%) | loss: 3.339421 | lrm: 0.96 | dt: 204ms | tok/sec: 641,846 | mfu: 18.0% | epoch: 1 | remaining: 216s    
step 00423 (27.9%) | loss: 3.348970 | lrm: 0.96 | dt: 202ms | tok/sec: 649,689 | mfu: 18.2% | epoch: 1 | remaining: 216s    
step 00424 (28.0%) | loss: 3.344679 | lrm: 0.96 | dt: 203ms | tok/sec: 645,592 | mfu: 18.1% | epoch: 1 | remaining: 216s    
step 00425 (28.0%) | loss: 3.346326 | lrm: 0.96 | dt: 205ms | tok/sec: 640,341 | mfu: 17.9% | epoch: 1 | remaining: 216s    
step 00426 (28.1%) | loss: 3.350009 | lrm: 0.96 | dt: 203ms | tok/sec: 644,900 | mfu: 18.0% | epoch: 1 | remaining: 215s    
step 00427 (28.2%) | loss: 3.354658 | lrm: 0.96 | dt: 204ms | tok/sec: 641,559 | mfu: 17.9% | epoch: 1 | remaining: 215s    
step 00428 (28.2%) | loss: 3.356729 | lrm: 0.96 | dt: 206ms | tok/sec: 637,154 | mfu: 17.8% | epoch: 1 | remaining: 215s    
step 00429 (28.3%) | loss: 3.353554 | lrm: 0.96 | dt: 203ms | tok/sec: 646,214 | mfu: 18.1% | epoch: 1 | remaining: 215s    
step 00430 (28.4%) | loss: 3.351170 | lrm: 0.95 | dt: 203ms | tok/sec: 645,216 | mfu: 18.1% | epoch: 1 | remaining: 215s    
step 00431 (28.4%) | loss: 3.348377 | lrm: 0.95 | dt: 204ms | tok/sec: 641,164 | mfu: 17.9% | epoch: 1 | remaining: 214s    
step 00432 (28.5%) | loss: 3.353218 | lrm: 0.95 | dt: 203ms | tok/sec: 645,754 | mfu: 18.1% | epoch: 1 | remaining: 214s    
step 00433 (28.6%) | loss: 3.351454 | lrm: 0.95 | dt: 204ms | tok/sec: 642,089 | mfu: 18.0% | epoch: 1 | remaining: 214s    
step 00434 (28.7%) | loss: 3.357699 | lrm: 0.95 | dt: 203ms | tok/sec: 645,348 | mfu: 18.1% | epoch: 1 | remaining: 214s    
step 00435 (28.7%) | loss: 3.355648 | lrm: 0.95 | dt: 205ms | tok/sec: 639,475 | mfu: 17.9% | epoch: 1 | remaining: 214s    
step 00436 (28.8%) | loss: 3.360916 | lrm: 0.95 | dt: 204ms | tok/sec: 641,184 | mfu: 17.9% | epoch: 1 | remaining: 213s    
step 00437 (28.9%) | loss: 3.356455 | lrm: 0.95 | dt: 204ms | tok/sec: 641,176 | mfu: 17.9% | epoch: 1 | remaining: 213s    
step 00438 (28.9%) | loss: 3.351600 | lrm: 0.95 | dt: 204ms | tok/sec: 642,814 | mfu: 18.0% | epoch: 1 | remaining: 213s    
step 00439 (29.0%) | loss: 3.346887 | lrm: 0.95 | dt: 203ms | tok/sec: 646,951 | mfu: 18.1% | epoch: 1 | remaining: 213s    
step 00440 (29.1%) | loss: 3.350623 | lrm: 0.95 | dt: 204ms | tok/sec: 642,546 | mfu: 18.0% | epoch: 1 | remaining: 213s    
step 00441 (29.1%) | loss: 3.349349 | lrm: 0.94 | dt: 203ms | tok/sec: 645,079 | mfu: 18.0% | epoch: 1 | remaining: 212s    
step 00442 (29.2%) | loss: 3.349584 | lrm: 0.94 | dt: 203ms | tok/sec: 644,190 | mfu: 18.0% | epoch: 1 | remaining: 212s    
step 00443 (29.3%) | loss: 3.351113 | lrm: 0.94 | dt: 204ms | tok/sec: 643,640 | mfu: 18.0% | epoch: 1 | remaining: 212s    
step 00444 (29.3%) | loss: 3.348517 | lrm: 0.94 | dt: 204ms | tok/sec: 642,133 | mfu: 18.0% | epoch: 1 | remaining: 212s    
step 00445 (29.4%) | loss: 3.346498 | lrm: 0.94 | dt: 204ms | tok/sec: 641,340 | mfu: 17.9% | epoch: 1 | remaining: 212s    
step 00446 (29.5%) | loss: 3.349416 | lrm: 0.94 | dt: 205ms | tok/sec: 639,662 | mfu: 17.9% | epoch: 1 | remaining: 211s    
step 00447 (29.5%) | loss: 3.351814 | lrm: 0.94 | dt: 204ms | tok/sec: 642,239 | mfu: 18.0% | epoch: 1 | remaining: 211s    
step 00448 (29.6%) | loss: 3.357476 | lrm: 0.94 | dt: 203ms | tok/sec: 644,638 | mfu: 18.0% | epoch: 1 | remaining: 211s    
step 00449 (29.7%) | loss: 3.359333 | lrm: 0.94 | dt: 202ms | tok/sec: 648,592 | mfu: 18.1% | epoch: 1 | remaining: 211s    
step 00450 (29.7%) | loss: 3.357122 | lrm: 0.94 | dt: 205ms | tok/sec: 639,474 | mfu: 17.9% | epoch: 1 | remaining: 211s    
step 00451 (29.8%) | loss: 3.360551 | lrm: 0.94 | dt: 203ms | tok/sec: 646,389 | mfu: 18.1% | epoch: 1 | remaining: 210s    
step 00452 (29.9%) | loss: 3.353894 | lrm: 0.94 | dt: 203ms | tok/sec: 644,368 | mfu: 18.0% | epoch: 1 | remaining: 210s    
step 00453 (29.9%) | loss: 3.360210 | lrm: 0.93 | dt: 204ms | tok/sec: 641,630 | mfu: 18.0% | epoch: 1 | remaining: 210s    
step 00454 (30.0%) | loss: 3.351875 | lrm: 0.93 | dt: 204ms | tok/sec: 642,781 | mfu: 18.0% | epoch: 1 | remaining: 210s    
step 00455 (30.1%) | loss: 3.353071 | lrm: 0.93 | dt: 204ms | tok/sec: 641,561 | mfu: 17.9% | epoch: 1 | remaining: 210s    
step 00456 (30.1%) | loss: 3.360370 | lrm: 0.93 | dt: 204ms | tok/sec: 643,479 | mfu: 18.0% | epoch: 1 | remaining: 209s    
step 00457 (30.2%) | loss: 3.360079 | lrm: 0.93 | dt: 204ms | tok/sec: 643,964 | mfu: 18.0% | epoch: 1 | remaining: 209s    
step 00458 (30.3%) | loss: 3.354199 | lrm: 0.93 | dt: 204ms | tok/sec: 641,446 | mfu: 17.9% | epoch: 1 | remaining: 209s    
step 00459 (30.3%) | loss: 3.349613 | lrm: 0.93 | dt: 202ms | tok/sec: 648,483 | mfu: 18.1% | epoch: 1 | remaining: 209s    
step 00460 (30.4%) | loss: 3.355700 | lrm: 0.93 | dt: 205ms | tok/sec: 640,738 | mfu: 17.9% | epoch: 1 | remaining: 209s    
step 00461 (30.5%) | loss: 3.360855 | lrm: 0.93 | dt: 203ms | tok/sec: 644,802 | mfu: 18.0% | epoch: 1 | remaining: 208s    
step 00462 (30.6%) | loss: 3.359821 | lrm: 0.93 | dt: 203ms | tok/sec: 644,889 | mfu: 18.0% | epoch: 1 | remaining: 208s    
step 00463 (30.6%) | loss: 3.361692 | lrm: 0.93 | dt: 204ms | tok/sec: 641,032 | mfu: 17.9% | epoch: 1 | remaining: 208s    
step 00464 (30.7%) | loss: 3.363753 | lrm: 0.92 | dt: 203ms | tok/sec: 644,640 | mfu: 18.0% | epoch: 1 | remaining: 208s    
step 00465 (30.8%) | loss: 3.358895 | lrm: 0.92 | dt: 208ms | tok/sec: 630,191 | mfu: 17.6% | epoch: 1 | remaining: 208s    
step 00466 (30.8%) | loss: 3.361551 | lrm: 0.92 | dt: 210ms | tok/sec: 625,058 | mfu: 17.5% | epoch: 1 | remaining: 207s    
step 00467 (30.9%) | loss: 3.353373 | lrm: 0.92 | dt: 211ms | tok/sec: 621,462 | mfu: 17.4% | epoch: 1 | remaining: 207s    
step 00468 (31.0%) | loss: 3.346238 | lrm: 0.92 | dt: 208ms | tok/sec: 631,024 | mfu: 17.7% | epoch: 1 | remaining: 207s    
step 00469 (31.0%) | loss: 3.345218 | lrm: 0.92 | dt: 210ms | tok/sec: 625,459 | mfu: 17.5% | epoch: 1 | remaining: 207s    
step 00470 (31.1%) | loss: 3.346203 | lrm: 0.92 | dt: 199ms | tok/sec: 657,281 | mfu: 18.4% | epoch: 1 | remaining: 206s    
step 00471 (31.2%) | loss: 3.350957 | lrm: 0.92 | dt: 198ms | tok/sec: 662,255 | mfu: 18.5% | epoch: 1 | remaining: 206s    
step 00472 (31.2%) | loss: 3.357616 | lrm: 0.92 | dt: 212ms | tok/sec: 619,164 | mfu: 17.3% | epoch: 1 | remaining: 206s    
step 00473 (31.3%) | loss: 3.355948 | lrm: 0.92 | dt: 207ms | tok/sec: 634,692 | mfu: 17.8% | epoch: 1 | remaining: 206s    
step 00474 (31.4%) | loss: 3.357754 | lrm: 0.91 | dt: 206ms | tok/sec: 636,446 | mfu: 17.8% | epoch: 1 | remaining: 206s    
step 00475 (31.4%) | loss: 3.355216 | lrm: 0.91 | dt: 198ms | tok/sec: 661,705 | mfu: 18.5% | epoch: 1 | remaining: 205s    
step 00476 (31.5%) | loss: 3.347745 | lrm: 0.91 | dt: 210ms | tok/sec: 625,251 | mfu: 17.5% | epoch: 1 | remaining: 205s    
step 00477 (31.6%) | loss: 3.345699 | lrm: 0.91 | dt: 205ms | tok/sec: 639,989 | mfu: 17.9% | epoch: 1 | remaining: 205s    
step 00478 (31.6%) | loss: 3.339530 | lrm: 0.91 | dt: 204ms | tok/sec: 643,626 | mfu: 18.0% | epoch: 1 | remaining: 205s    
step 00479 (31.7%) | loss: 3.340052 | lrm: 0.91 | dt: 206ms | tok/sec: 636,954 | mfu: 17.8% | epoch: 1 | remaining: 205s    
step 00480 (31.8%) | loss: 3.337845 | lrm: 0.91 | dt: 206ms | tok/sec: 635,155 | mfu: 17.8% | epoch: 1 | remaining: 204s    
step 00481 (31.9%) | loss: 3.340492 | lrm: 0.91 | dt: 204ms | tok/sec: 641,128 | mfu: 17.9% | epoch: 1 | remaining: 204s    
step 00482 (31.9%) | loss: 3.340226 | lrm: 0.91 | dt: 204ms | tok/sec: 643,274 | mfu: 18.0% | epoch: 1 | remaining: 204s    
step 00483 (32.0%) | loss: 3.341218 | lrm: 0.91 | dt: 205ms | tok/sec: 640,064 | mfu: 17.9% | epoch: 1 | remaining: 204s    
step 00484 (32.1%) | loss: 3.342656 | lrm: 0.91 | dt: 203ms | tok/sec: 644,211 | mfu: 18.0% | epoch: 1 | remaining: 204s    
step 00485 (32.1%) | loss: 3.344208 | lrm: 0.90 | dt: 204ms | tok/sec: 642,164 | mfu: 18.0% | epoch: 1 | remaining: 203s    
step 00486 (32.2%) | loss: 3.338322 | lrm: 0.90 | dt: 205ms | tok/sec: 639,101 | mfu: 17.9% | epoch: 1 | remaining: 203s    
step 00487 (32.3%) | loss: 3.334574 | lrm: 0.90 | dt: 207ms | tok/sec: 634,610 | mfu: 17.8% | epoch: 1 | remaining: 203s    
step 00488 (32.3%) | loss: 3.329645 | lrm: 0.90 | dt: 213ms | tok/sec: 616,570 | mfu: 17.2% | epoch: 1 | remaining: 203s    
step 00489 (32.4%) | loss: 3.315661 | lrm: 0.90 | dt: 210ms | tok/sec: 623,429 | mfu: 17.4% | epoch: 1 | remaining: 203s    
step 00490 (32.5%) | loss: 3.306921 | lrm: 0.90 | dt: 203ms | tok/sec: 646,680 | mfu: 18.1% | epoch: 1 | remaining: 202s    
step 00491 (32.5%) | loss: 3.305658 | lrm: 0.90 | dt: 205ms | tok/sec: 639,438 | mfu: 17.9% | epoch: 1 | remaining: 202s    
step 00492 (32.6%) | loss: 3.303474 | lrm: 0.90 | dt: 205ms | tok/sec: 639,819 | mfu: 17.9% | epoch: 1 | remaining: 202s    
step 00493 (32.7%) | loss: 3.304362 | lrm: 0.90 | dt: 203ms | tok/sec: 644,991 | mfu: 18.0% | epoch: 1 | remaining: 202s    
step 00494 (32.7%) | loss: 3.301624 | lrm: 0.90 | dt: 205ms | tok/sec: 640,099 | mfu: 17.9% | epoch: 1 | remaining: 202s    
step 00495 (32.8%) | loss: 3.305255 | lrm: 0.90 | dt: 203ms | tok/sec: 646,237 | mfu: 18.1% | epoch: 1 | remaining: 201s    
step 00496 (32.9%) | loss: 3.303491 | lrm: 0.89 | dt: 205ms | tok/sec: 638,665 | mfu: 17.9% | epoch: 1 | remaining: 201s    
step 00497 (32.9%) | loss: 3.306028 | lrm: 0.89 | dt: 205ms | tok/sec: 638,569 | mfu: 17.9% | epoch: 1 | remaining: 201s    
step 00498 (33.0%) | loss: 3.310489 | lrm: 0.89 | dt: 205ms | tok/sec: 640,415 | mfu: 17.9% | epoch: 1 | remaining: 201s    
step 00499 (33.1%) | loss: 3.313009 | lrm: 0.89 | dt: 205ms | tok/sec: 639,668 | mfu: 17.9% | epoch: 1 | remaining: 201s    
step 00500 (33.2%) | loss: 3.315244 | lrm: 0.89 | dt: 206ms | tok/sec: 634,876 | mfu: 17.8% | epoch: 1 | remaining: 200s    
step 00501 (33.2%) | loss: 3.314660 | lrm: 0.89 | dt: 198ms | tok/sec: 660,764 | mfu: 18.5% | epoch: 1 | remaining: 200s    
step 00502 (33.3%) | loss: 3.315657 | lrm: 0.89 | dt: 200ms | tok/sec: 656,067 | mfu: 18.4% | epoch: 1 | remaining: 200s    
step 00503 (33.4%) | loss: 3.316934 | lrm: 0.89 | dt: 198ms | tok/sec: 661,132 | mfu: 18.5% | epoch: 1 | remaining: 200s    
step 00504 (33.4%) | loss: 3.310881 | lrm: 0.89 | dt: 199ms | tok/sec: 659,568 | mfu: 18.5% | epoch: 1 | remaining: 200s    
step 00505 (33.5%) | loss: 3.308601 | lrm: 0.89 | dt: 198ms | tok/sec: 660,499 | mfu: 18.5% | epoch: 1 | remaining: 199s    
step 00506 (33.6%) | loss: 3.307073 | lrm: 0.89 | dt: 198ms | tok/sec: 660,537 | mfu: 18.5% | epoch: 1 | remaining: 199s    
step 00507 (33.6%) | loss: 3.308527 | lrm: 0.89 | dt: 198ms | tok/sec: 660,379 | mfu: 18.5% | epoch: 1 | remaining: 199s    
step 00508 (33.7%) | loss: 3.305950 | lrm: 0.88 | dt: 199ms | tok/sec: 659,038 | mfu: 18.4% | epoch: 1 | remaining: 199s    
step 00509 (33.8%) | loss: 3.301611 | lrm: 0.88 | dt: 199ms | tok/sec: 660,154 | mfu: 18.5% | epoch: 1 | remaining: 199s    
step 00510 (33.8%) | loss: 3.307062 | lrm: 0.88 | dt: 198ms | tok/sec: 660,578 | mfu: 18.5% | epoch: 1 | remaining: 198s    
step 00511 (33.9%) | loss: 3.308688 | lrm: 0.88 | dt: 200ms | tok/sec: 656,855 | mfu: 18.4% | epoch: 1 | remaining: 198s    
step 00512 (34.0%) | loss: 3.304221 | lrm: 0.88 | dt: 200ms | tok/sec: 656,891 | mfu: 18.4% | epoch: 1 | remaining: 198s    
step 00513 (34.0%) | loss: 3.298665 | lrm: 0.88 | dt: 199ms | tok/sec: 659,713 | mfu: 18.5% | epoch: 1 | remaining: 198s    
step 00514 (34.1%) | loss: 3.299499 | lrm: 0.88 | dt: 199ms | tok/sec: 660,176 | mfu: 18.5% | epoch: 1 | remaining: 198s    
step 00515 (34.2%) | loss: 3.296636 | lrm: 0.88 | dt: 199ms | tok/sec: 658,974 | mfu: 18.4% | epoch: 1 | remaining: 197s    
step 00516 (34.2%) | loss: 3.297885 | lrm: 0.88 | dt: 199ms | tok/sec: 659,751 | mfu: 18.5% | epoch: 1 | remaining: 197s    
step 00517 (34.3%) | loss: 3.300478 | lrm: 0.88 | dt: 205ms | tok/sec: 638,329 | mfu: 17.9% | epoch: 1 | remaining: 197s    
step 00518 (34.4%) | loss: 3.295448 | lrm: 0.88 | dt: 204ms | tok/sec: 641,473 | mfu: 17.9% | epoch: 1 | remaining: 197s    
step 00519 (34.4%) | loss: 3.294825 | lrm: 0.87 | dt: 224ms | tok/sec: 585,663 | mfu: 16.4% | epoch: 1 | remaining: 197s    
step 00520 (34.5%) | loss: 3.290048 | lrm: 0.87 | dt: 208ms | tok/sec: 630,290 | mfu: 17.6% | epoch: 1 | remaining: 196s    
step 00521 (34.6%) | loss: 3.290865 | lrm: 0.87 | dt: 206ms | tok/sec: 634,898 | mfu: 17.8% | epoch: 1 | remaining: 196s    
step 00522 (34.6%) | loss: 3.292526 | lrm: 0.87 | dt: 210ms | tok/sec: 623,521 | mfu: 17.4% | epoch: 1 | remaining: 196s    
step 00523 (34.7%) | loss: 3.290302 | lrm: 0.87 | dt: 219ms | tok/sec: 597,815 | mfu: 16.7% | epoch: 1 | remaining: 196s    
step 00524 (34.8%) | loss: 3.294102 | lrm: 0.87 | dt: 217ms | tok/sec: 604,639 | mfu: 16.9% | epoch: 1 | remaining: 195s    
step 00525 (34.8%) | loss: 3.292564 | lrm: 0.87 | dt: 219ms | tok/sec: 597,344 | mfu: 16.7% | epoch: 1 | remaining: 195s    
step 00526 (34.9%) | loss: 3.290816 | lrm: 0.87 | dt: 218ms | tok/sec: 600,748 | mfu: 16.8% | epoch: 1 | remaining: 195s    
step 00527 (35.0%) | loss: 3.291783 | lrm: 0.87 | dt: 217ms | tok/sec: 604,787 | mfu: 16.9% | epoch: 1 | remaining: 195s    
step 00528 (35.1%) | loss: 3.287515 | lrm: 0.87 | dt: 220ms | tok/sec: 595,156 | mfu: 16.7% | epoch: 1 | remaining: 195s    
step 00529 (35.1%) | loss: 3.289693 | lrm: 0.86 | dt: 225ms | tok/sec: 582,205 | mfu: 16.3% | epoch: 1 | remaining: 194s    
step 00530 (35.2%) | loss: 3.289644 | lrm: 0.86 | dt: 223ms | tok/sec: 586,885 | mfu: 16.4% | epoch: 1 | remaining: 194s    
step 00531 (35.3%) | loss: 3.289357 | lrm: 0.86 | dt: 220ms | tok/sec: 595,241 | mfu: 16.7% | epoch: 1 | remaining: 194s    
step 00532 (35.4%) | loss: 3.290152 | lrm: 0.86 | dt: 219ms | tok/sec: 599,749 | mfu: 16.8% | epoch: 1 | remaining: 194s    
step 00533 (35.4%) | loss: 3.285589 | lrm: 0.86 | dt: 220ms | tok/sec: 596,241 | mfu: 16.7% | epoch: 1 | remaining: 193s    
step 00534 (35.5%) | loss: 3.291231 | lrm: 0.86 | dt: 223ms | tok/sec: 587,318 | mfu: 16.4% | epoch: 1 | remaining: 193s    
step 00535 (35.6%) | loss: 3.281659 | lrm: 0.86 | dt: 225ms | tok/sec: 583,257 | mfu: 16.3% | epoch: 1 | remaining: 193s    
step 00536 (35.7%) | loss: 3.283211 | lrm: 0.86 | dt: 224ms | tok/sec: 585,375 | mfu: 16.4% | epoch: 1 | remaining: 193s    
step 00537 (35.7%) | loss: 3.289643 | lrm: 0.86 | dt: 225ms | tok/sec: 581,887 | mfu: 16.3% | epoch: 1 | remaining: 193s    
step 00538 (35.8%) | loss: 3.290649 | lrm: 0.86 | dt: 224ms | tok/sec: 585,126 | mfu: 16.4% | epoch: 1 | remaining: 192s    
step 00539 (35.9%) | loss: 3.286742 | lrm: 0.85 | dt: 225ms | tok/sec: 581,940 | mfu: 16.3% | epoch: 1 | remaining: 192s    
step 00540 (36.0%) | loss: 3.279093 | lrm: 0.85 | dt: 213ms | tok/sec: 614,209 | mfu: 17.2% | epoch: 1 | remaining: 192s    
step 00541 (36.0%) | loss: 3.275773 | lrm: 0.85 | dt: 216ms | tok/sec: 607,116 | mfu: 17.0% | epoch: 1 | remaining: 192s    
step 00542 (36.1%) | loss: 3.279247 | lrm: 0.85 | dt: 214ms | tok/sec: 612,833 | mfu: 17.1% | epoch: 1 | remaining: 191s    
step 00543 (36.2%) | loss: 3.280057 | lrm: 0.85 | dt: 216ms | tok/sec: 606,890 | mfu: 17.0% | epoch: 1 | remaining: 191s    
step 00544 (36.2%) | loss: 3.270822 | lrm: 0.85 | dt: 221ms | tok/sec: 593,935 | mfu: 16.6% | epoch: 1 | remaining: 191s    
step 00545 (36.3%) | loss: 3.275957 | lrm: 0.85 | dt: 217ms | tok/sec: 605,296 | mfu: 16.9% | epoch: 1 | remaining: 191s    
step 00546 (36.4%) | loss: 3.278201 | lrm: 0.85 | dt: 213ms | tok/sec: 615,833 | mfu: 17.2% | epoch: 1 | remaining: 191s    
